Test takers,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
Student 1,1,0,0,1,1,0,1,1,0,0
Student 2,0,1,0,0,1,0,1,0,0,0
Student 3,0,0,0,0,1,1,1,0,1,0
Student 4,0,0,0,0,0,0,0,0,0,0
Student 5,0,0,0,0,0,0,1,0,0,0
Student 6,0,0,1,0,0,0,0,0,0,0
Student 7,0,0,0,1,0,0,1,1,0,1
Student 8,0,1,0,0,1,0,0,0,0,0
Student 9,0,0,0,0,1,0,1,0,0,0
Student 10,0,0,0,0,0,0,1,0,1,0
Student 11,0,0,0,0,0,0,0,0,0,0
Student 12,0,0,0,0,0,0,0,0,0,0
Student 13,0,0,0,1,0,0,1,0,0,0
Student 14,0,0,0,0,0,0,0,0,0,0
Student 15,0,0,1,1,0,0,0,1,0,0
Student 16,0,0,0,0,1,0,0,0,0,0
Student 17,0,1,0,0,1,0,0,0,0,0
Student 18,0,0,1,1,0,1,1,1,0,0
Student 19,1,1,1,1,1,1,0,1,1,0
Student 20,1,0,0,1,1,0,1,0,0,0
Student 21,0,0,1,0,0,0,1,0,1,0
Student 22,0,0,1,0,1,0,0,0,0,0
Student 23,0,0,0,1,1,0,0,0,0,0
Student 24,0,0,0,0,0,0,1,0,0,0
Student 25,0,1,1,1,1,0,1,1,1,0
Student 26,0,1,1,1,0,0,0,1,1,1
Student 27,0,1,0,1,1,1,1,1,1,0
Student 28,0,1,0,1,0,1,1,0,0,0
Student 29,0,0,0,0,1,1,1,0,1,0
Student 30,0,1,0,0,1,1,1,1,0,0
Student 31,0,0,0,0,0,0,1,0,0,0
Student 32,0,1,1,1,1,1,1,1,1,0
Student 33,0,0,0,0,0,0,0,0,0,0
Student 34,0,1,0,0,1,0,1,0,0,1
Student 35,0,0,1,1,0,0,1,1,1,0
Student 36,1,0,0,0,0,0,0,1,1,0
Student 37,0,0,1,0,0,1,0,1,0,0
Student 38,0,0,0,0,0,0,0,0,0,0
Student 39,0,1,0,1,1,1,1,0,1,0
Student 40,0,0,0,0,0,0,0,0,0,0
Student 41,0,0,0,0,0,0,1,0,0,0
Student 42,0,0,0,0,0,0,0,0,0,0
Student 43,0,0,0,0,1,1,1,0,0,0
Student 44,0,0,0,1,1,0,0,0,1,0
Student 45,0,0,0,0,1,0,0,0,0,0
Student 46,0,0,0,0,0,1,0,1,1,0
Student 47,0,0,0,0,0,0,0,1,0,0
Student 48,0,0,1,0,0,0,0,0,0,0
Student 49,0,0,1,1,1,0,1,1,1,0
Student 50,1,0,0,0,1,0,1,1,0,0
Student 51,0,1,0,1,1,1,1,1,1,0
Student 52,0,0,1,0,1,0,0,1,0,0
Student 53,0,1,0,0,1,1,1,1,1,0
Student 54,0,0,0,0,1,0,0,0,1,0
Student 55,0,1,0,1,0,1,0,0,1,1
Student 56,0,0,0,1,1,1,1,1,1,0
Student 57,1,1,1,1,1,1,1,0,1,0
Student 58,0,0,1,0,1,1,0,0,0,0
Student 59,1,0,1,0,1,1,1,1,1,0
Student 60,0,1,0,0,1,1,0,1,1,0
Student 61,0,0,0,0,1,0,1,0,0,0
Student 62,0,0,0,0,0,0,0,0,0,0
Student 63,0,1,1,1,0,1,1,1,0,0
Student 64,0,0,0,0,0,0,0,0,0,0
Student 65,0,1,0,1,0,0,0,0,0,0
Student 66,0,0,0,0,1,1,0,0,1,0
Student 67,0,0,0,1,0,1,1,0,0,0
Student 68,0,0,0,1,0,0,0,0,0,0
Student 69,0,1,1,1,1,1,0,1,1,0
Student 70,0,0,0,0,0,0,0,0,1,0
Student 71,0,1,0,1,0,1,0,0,1,0
